-DOCSTART- -X- -X- O

Apple NNP B-NP O
company NNP B-NP O
stay NN I-NP O
on IN B-PP O
top NN B-NP O
, , O O
though RB B-ADVP O
, , O O
may MD B-VP O
be VB I-VP O
short-lived JJ B-ADJP O
as IN B-PP O
title NN B-NP O
rivals NNS I-NP O
Essex NNP I-NP B-ORG
, , O O
Derbyshire NNP B-NP B-ORG
and CC I-NP O
Surrey NNP I-NP B-ORG
all DT O O
closed VBD B-VP O
in RP B-PRT O
on IN B-PP O
victory NN B-NP O
while IN B-SBAR O
Kent NNP B-NP B-ORG
made VBD B-VP O
up RP B-PRT O
for IN B-PP O
lost VBN B-NP O
time NN I-NP O
in IN B-PP O
their PRP$ B-NP O
rain-affected JJ I-NP O
match NN I-NP O
against IN B-PP O
Nottinghamshire NNP B-NP B-ORG
. . O O

